time,VLA,VLV,VRA,VRV,pARSYS
0.0001,75.609532038,140.871151,75.106144604,125.1691647,99.485204419
0.0101,71.144801461,145.71719227,73.212477047,127.98025143,98.781989488
0.0201,69.308321383,147.95106863,71.78195411,130.33430941,98.005172331
0.0301,68.644478104,149.13492011,70.731392423,132.31398169,97.216144191
0.0401,68.630936899,149.77726897,69.99324694,133.9857523,96.431391878
0.0501,69.070922698,150.03542857,69.671806922,135.24441903,95.655268974
0.0601,69.793688635,150.04003874,70.35505408,135.50007016,94.888851771
0.0701,70.51846634,150.04004801,71.293065657,135.50007231,94.132332623
0.0801,71.226880956,150.04005656,72.230008016,135.50007383,93.3856667
0.0901,71.915415377,150.04006394,73.166097122,135.50007455,92.648746471
0.1001,72.585922882,150.0400695,74.101548379,135.5000743,91.921448768
0.1101,73.242767435,150.04007233,75.0365751,135.50007293,91.203647499
0.1201,73.891266077,150.04007125,75.97138763,134.52720758,90.49521707
0.1301,74.536882847,149.98491815,76.906192401,129.06855503,89.841989354
0.1401,75.185023322,145.77443587,77.841191485,120.73001185,92.655047484
0.1501,75.841315176,140.1892469,78.776589665,111.36655031,96.589912393
0.1601,76.511823178,133.93832859,79.712601749,102.27185484,101.03555917
0.1701,77.202928581,127.34173586,80.649445603,94.17511429,105.71509592
0.1801,77.920969198,120.65209705,81.587336167,87.363018061,110.41314986
0.1901,78.67181749,114.06762908,82.526481741,81.843862934,114.96314652
0.2001,79.460534121,107.7437832,83.467081257,77.49076993,119.2366496
0.2101,80.291161158,101.7858591,84.409322101,74.137481053,123.14887914
0.2201,81.166658185,96.258459671,85.353378358,71.628729141,126.65026115
0.2301,82.088949893,91.19175115,86.299409424,69.839559983,129.72072197
0.2401,83.05904261,86.588772353,87.247558946,68.678239065,132.36318954
0.2501,84.077171086,82.434512853,88.197954036,68.046160731,134.59570514
0.2601,85.14294775,78.704256422,89.150704706,67.767323312,136.44424359
0.2701,86.255503207,75.370067597,90.10590344,67.725810839,137.93717314
0.2801,87.413617018,72.407917496,91.063624878,67.725807695,139.09926298
0.2901,88.61583562,69.802688315,92.023925574,67.72580466,139.94753384
0.3001,89.860576568,67.548545834,92.986843775,67.725801768,140.4910248
0.3101,91.146207201,65.655786828,93.952399179,67.725799051,140.7251901
0.3201,92.471090946,64.157904464,94.920592676,67.725796539,140.62617215
0.3301,93.83360599,63.120464757,95.891406012,67.725794261,140.1436347
0.3401,95.23214429,62.668969601,96.864801354,67.725792241,139.17787425
0.3501,96.665098011,62.663669915,97.840720661,67.725790502,137.85120404
0.3601,98.130838884,62.663656319,98.819085274,67.725789065,136.53551836
0.3701,99.62769524,62.6636451,99.799797304,67.725787945,135.23658518
0.3801,101.15392716,62.663636405,100.78274117,67.725787157,133.95460414
0.3901,102.70770203,62.663630348,101.76778419,67.725786709,132.68946309
0.4001,104.28707158,62.663626989,102.75477683,67.72578661,131.44096791
0.4101,105.88995051,62.663626301,103.74355293,67.72578686,130.20890451
0.4201,107.51409712,62.663628184,104.73392999,67.725787461,128.99305566
0.4301,109.1570958,62.663632489,105.72570944,67.725788408,127.79320541
0.4401,110.81634169,62.663639028,106.71867709,67.725789693,126.60914032
0.4501,112.48902741,62.66364758,107.71260354,67.725791305,125.44064973
0.4601,114.17213195,62.663657909,108.70724471,67.72579323,124.28752582
0.4701,115.86241188,62.663669772,109.70234245,67.725795451,123.14956357
0.4801,117.55639489,62.663682923,110.69762515,67.725797948,122.02656076
0.4901,118.03841691,63.879351169,111.69280851,67.725800697,120.91831804
0.5001,116.8266257,66.815515079,112.5389717,67.874443591,119.82463876
0.5101,114.60440216,70.835517396,112.53975244,68.868404063,118.74532878
0.5201,111.82783864,75.524751658,111.82678978,70.577015053,117.68019649
0.5301,108.8824585,80.524878549,110.61363116,72.787436657,116.62905269
0.5401,106.09782218,85.517168569,109.09462501,75.305906484,115.59171055
0.5501,103.6720319,90.299182025,107.45692754,77.945641942,114.56798558
0.5601,101.74511557,94.714850199,105.88847578,80.518788331,113.55769568
0.5701,100.38239494,98.674657105,104.54566685,82.868742098,112.56066111
0.5801,99.559623353,102.17387937,103.43605615,84.987572177,111.57670459
