time,VLA,VLV,VRA,VRV,pARSYS
1.0000000000e-04,7.5609532038e+01,1.4087115100e+02,7.5106144604e+01,1.2516916470e+02,9.9485204419e+01
1.0100000000e-02,7.5180576341e+01,1.4205312246e+02,7.5404276756e+01,1.2583272683e+02,9.8781988213e+01
2.0100000000e-02,7.5620787729e+01,1.4277282078e+02,7.5760648367e+01,1.2644627930e+02,9.8005163094e+01
3.0100000000e-02,7.6414393827e+01,1.4333007228e+02,7.6167261908e+01,1.2700981574e+02,9.7216117973e+01
4.0100000000e-02,7.7388291193e+01,1.4377793626e+02,7.6624390271e+01,1.2752314583e+02,9.6431339944e+01
5.0100000000e-02,7.8549604113e+01,1.4404495641e+02,7.7281750634e+01,1.2783658582e+02,9.5655183413e+01
6.0100000000e-02,7.9927145229e+01,1.4406607151e+02,7.8252340277e+01,1.2783658836e+02,9.4888725469e+01
7.0100000000e-02,8.1274800246e+01,1.4406608116e+02,7.9222503742e+01,1.2783659051e+02,9.4132159000e+01
8.0100000000e-02,8.2564946463e+01,1.4406609015e+02,8.0192469912e+01,1.2783659207e+02,9.3385439321e+01
9.0100000000e-02,8.3800374654e+01,1.4406609806e+02,8.1162472921e+01,1.2783659287e+02,9.2648458855e+01
1.0010000000e-01,8.4988307802e+01,1.4406610428e+02,8.2132745290e+01,1.2783659276e+02,9.1921094330e+01
1.1010000000e-01,8.6137772333e+01,1.4406610794e+02,8.3103517016e+01,1.2783659161e+02,9.1203219528e+01
1.2010000000e-01,8.7258216573e+01,1.4406610793e+02,8.4075014650e+01,1.2769558594e+02,9.0494708726e+01
1.3010000000e-01,8.8358815695e+01,1.4406610289e+02,8.5047460324e+01,1.2397694932e+02,8.9795437586e+01
1.4010000000e-01,8.9448245885e+01,1.4110050797e+02,8.6021070869e+01,1.1690006108e+02,9.1574406468e+01
1.5010000000e-01,9.0534941326e+01,1.3584133658e+02,8.6996061956e+01,1.0841341484e+02,9.5248661610e+01
1.6010000000e-01,9.1627438027e+01,1.2986391302e+02,8.7972657954e+01,9.9909235182e+01,9.9482155839e+01
1.7010000000e-01,9.2734411346e+01,1.2351548374e+02,8.8951087105e+01,9.2203850421e+01,1.0397391437e+02
1.8010000000e-01,9.3864432035e+01,1.1706014485e+02,8.9931574652e+01,8.5651470295e+01,1.0849839343e+02
1.9010000000e-01,9.5025605716e+01,1.1070361774e+02,9.0914338676e+01,8.0307465595e+01,1.1288246733e+02
2.0010000000e-01,9.6225243456e+01,1.0460262261e+02,9.1899587166e+01,7.6075142755e+01,1.1699648687e+02
2.1010000000e-01,9.7469643434e+01,9.8861632573e+01,9.2887515720e+01,7.2806442590e+01,1.2075625599e+02
2.2010000000e-01,9.8764001234e+01,9.3543838225e+01,9.3878305715e+01,7.0356656831e+01,1.2411328112e+02
2.3010000000e-01,1.0011242766e+02,8.8677154933e+01,9.4872122876e+01,6.8606856600e+01,1.2704925933e+02
2.4010000000e-01,1.0151803794e+02,8.4262450117e+01,9.5869116170e+01,6.7468728692e+01,1.2956880450e+02
2.5010000000e-01,1.0298307665e+02,8.0283086986e+01,9.6869416987e+01,6.6846412757e+01,1.3169116897e+02
2.6010000000e-01,1.0450905180e+02,7.6713283873e+01,9.7873138544e+01,6.6568088296e+01,1.3344305393e+02
2.7010000000e-01,1.0609686590e+02,7.3526611312e+01,9.8880375422e+01,6.6523397458e+01,1.3485140247e+02
2.8010000000e-01,1.0774694232e+02,7.0702248862e+01,9.9891203219e+01,6.6523394174e+01,1.3593815126e+02
2.9010000000e-01,1.0945934196e+02,6.8228612570e+01,1.0090567825e+02,6.6523390992e+01,1.3671724696e+02
3.0010000000e-01,1.1123386892e+02,6.6105620608e+01,1.0192383728e+02,6.6523387943e+01,1.3719284458e+02
